test_id,flex_identifier,test_date,test_gmt,fuel,pressure_mmhg,o2_frac,n2_frac,co2_frac,he_frac,d0_mm,dext_mm,burning_rate_mm2_s,burn_time_s,test_end,burn_time_s_approx,pressure_atm,extinction,investigation,source,gravity
112,C10M401,9/1/2010,15:27:44,Methanol,530.7,0.21,0.49,0.3,0.0,3.99,2.35,0.43,25.2,Completion,False,0.6982894736842106,0,PSI-69,experiment,microgravity
113,C11M101,9/1/2010,19:17:58,Methanol,534.6,0.2,0.45,0.35,0.0,4.2,2.85,0.49,18.2,Extinction,False,0.703421052631579,1,PSI-69,experiment,microgravity
114,C11M201,9/6/2010,19:14:22,Methanol,,0.2,0.45,0.35,0.0,3.23,1.68,0.42,18.9,Extinction,False,,1,PSI-69,experiment,microgravity
115,C11M301,9/1/2010,20:40:16,Methanol,535.8,0.2,0.45,0.35,0.0,3.97,2.61,0.41,22.9,Extinction,False,0.705,1,PSI-69,experiment,microgravity
116,C11M401,9/1/2010,20:57:41,Methanol,536.3,0.2,0.45,0.35,0.0,3.16,1.57,0.46,16.9,Extinction,False,0.705657894736842,1,PSI-69,experiment,microgravity
117,C11H101,9/6/2010,18:14:53,Heptane,531.1,0.2,0.45,0.35,0.0,3.84,3.77,0.25,2.4,Extinction,False,0.6988157894736843,1,PSI-69,experiment,microgravity
118,C11H201,9/6/2010,19:14:22,Heptane,532.8,0.2,0.44,0.35,0.0,3.03,2.93,0.38,2.5,Extinction,False,0.7010526315789473,1,PSI-69,experiment,microgravity
119,C12H103,9/7/2010,1:50:01,Heptane,532.6,0.18,0.42,0.4,0.0,2.6,2.48,0.37,1.3,Extinction,False,0.7007894736842105,1,PSI-69,experiment,microgravity
120,C12H201,9/7/2010,1:08:26,Heptane,532.5,0.18,0.42,0.4,0.0,2.45,2.39,0.38,1.43,Extinction,False,0.7006578947368421,1,PSI-69,experiment,microgravity
121,C12M101,9/8/2010,19:21:31,Methanol,526.3,0.18,0.42,0.4,0.0,4.25,3.92,0.34,8.0,Extinction,False,0.6924999999999999,1,PSI-69,experiment,microgravity
122,C12M201,9/8/2010,21:44:37,Methanol,531.2,0.18,0.42,0.4,0.0,3.46,2.58,0.41,13.9,Extinction,False,0.6989473684210527,1,PSI-69,experiment,microgravity
123,C12M301,9/8/2010,22:16:51,Methanol,532.0,0.18,0.42,0.4,0.0,4.13,3.79,0.35,8.7,Extinction,False,0.7,1,PSI-69,experiment,microgravity
124,C12M401,9/8/2010,22:45:54,Methanol,532.4,0.18,0.42,0.4,0.0,2.87,2.74,0.3,2.4,Extinction,False,0.7005263157894737,1,PSI-69,experiment,microgravity
125,C13M103,9/13/2010,21:07:02,Methanol,537.2,0.17,0.38,0.45,0.0,3.63,3.37,0.35,5.7,Extinction,False,0.7068421052631579,1,PSI-69,experiment,microgravity
126,C13M201,9/13/2010,18:11:39,Methanol,536.1,0.17,0.38,0.45,0.0,2.8,1.84,0.4,11.7,Extinction,False,0.7053947368421053,1,PSI-69,experiment,microgravity
127,C13M301,9/13/2010,19:22:49,Methanol,536.7,0.17,0.38,0.45,0.0,3.22,2.53,0.38,11.0,Extinction,False,0.7061842105263159,1,PSI-69,experiment,microgravity
128,C13M401,9/13/2010,19:49:24,Methanol,537.3,0.17,0.38,0.45,0.0,2.91,,0.39,11.5,Extinction,False,0.7069736842105263,1,PSI-69,experiment,microgravity
129,C13H102,9/17/2010,1:32:49,Heptane,536.2,0.17,0.38,0.45,0.0,3.33,3.34,0.33,0.55,Extinction,False,0.7055263157894738,1,PSI-69,experiment,microgravity
