GMT date,GMT ignition,GMT  Flame Off ,Fuel,Nozzle (mm),Fuel Rate (sccm),Fuel Rate (mg/s),HC Fuel Rate (mg/s),Air Rate (cm/s)
167,9:20:12,9:23:49,50 % Propylene,1.6002,47.10638298,1.117,0.67,13.83
167,9:20:12,9:23:49,50 % Propylene,1.6002,55.82978723,1.324,0.795,12.89
167,9:20:12,9:23:49,50 % Propylene,1.6002,66.87943262,1.586,0.952,12.89
167,9:31:17,9:32:56,50 % Propylene,1.6002,72.69503546,1.724,1.035,26.05
167,9:31:17,9:32:56,50 % Propylene,1.6002,81.41843972,1.931,1.159,26.05
167,9:31:17,9:32:56,50 % Propylene,1.6002,90.14184397,2.137,1.283,26.05
167,9:39:28,9:41:40,50 % Propylene,1.6002,104.0992908,2.468,1.482,41.09
167,9:39:28,9:41:40,50 % Propylene,1.6002,112.822695,2.675,1.606,40.15
167,9:39:28,9:41:40,50 % Propylene,1.6002,121.5460993,2.882,1.73,40.15
167,9:44:52,9:46:42,50 % Propylene,1.6002,136.0851064,3.227,1.937,48.61
167,9:44:52,9:46:42,50 % Propylene,1.6002,113.4042553,2.689,1.614,47.67
167,9:44:52,9:46:42,50 % Propylene,1.6002,157.0212766,3.723,2.235,47.67
167,9:59:46,10:02:52,50 % Propylene,1.6002,43.03546099,1.02,0.613,39.21
167,9:59:46,10:02:52,50 % Propylene,1.6002,54.66666667,1.296,0.778,40.15
167,9:59:46,10:02:52,50 % Propylene,1.6002,66.29787234,1.572,0.944,40.15
167,9:59:46,10:02:52,50 % Propylene,1.6002,77.92907801,1.848,1.109,39.21
167,9:59:46,10:02:52,50 % Propylene,1.6002,89.56028369,2.124,1.275,40.15
167,9:59:46,10:02:52,50 % Propylene,1.6002,101.1914894,2.399,1.44,40.15
167,9:59:46,10:02:52,50 % Propylene,1.6002,112.822695,2.675,1.606,39.21
167,9:59:46,10:02:52,50 % Propylene,1.6002,124.4539007,2.951,1.771,40.15
167,10:06:06,10:06:40,50 % Propylene,1.6002,81.41843972,1.931,1.159,12.89
